student_id,attendance,internal_marks,assignment_marks,final_grade,category
1,87.45,77.13,84.22,81.89,GOOD
2,100.0,93.06,67.7,87.87,EXCELLENT
3,83.63,32.12,40.0,52.11,NEEDS_IMPROVEMENT
4,66.38,40.91,86.82,61.68,AVERAGE
5,71.83,72.57,48.43,65.08,AVERAGE
6,70.97,86.0,72.02,75.61,GOOD
7,83.13,34.98,53.4,56.49,NEEDS_IMPROVEMENT
8,78.27,60.88,45.08,64.4,AVERAGE
9,85.15,36.04,76.15,65.44,AVERAGE
10,95.46,90.81,63.08,87.22,EXCELLENT
11,72.81,59.49,55.02,64.81,AVERAGE
12,78.92,85.83,78.83,84.93,GOOD
13,79.46,97.95,40.0,77.32,GOOD
14,81.38,35.06,74.44,61.09,AVERAGE
15,67.87,60.35,80.22,70.09,AVERAGE
16,81.46,87.48,58.95,75.61,GOOD
17,84.44,75.3,67.57,75.31,GOOD
18,74.86,56.53,75.09,68.16,AVERAGE
19,83.86,69.82,40.9,71.57,AVERAGE
20,77.11,69.62,74.86,74.95,AVERAGE
21,91.87,48.42,99.09,90.29,EXCELLENT
22,65.14,54.5,62.47,60.11,AVERAGE
23,64.07,83.12,49.48,68.61,AVERAGE
24,92.2,55.74,73.1,73.11,AVERAGE
25,83.9,79.66,54.23,74.9,AVERAGE
26,83.76,79.1,62.66,74.81,AVERAGE
27,100.0,87.76,52.66,84.23,GOOD
28,97.38,60.19,97.63,95.01,EXCELLENT
29,76.32,51.59,55.81,61.69,AVERAGE
30,84.15,94.46,72.22,90.6,EXCELLENT
31,89.39,58.43,55.34,69.32,AVERAGE
32,87.1,63.12,57.73,71.33,AVERAGE
33,83.21,49.49,72.13,67.6,AVERAGE
34,80.87,51.95,82.31,72.78,AVERAGE
35,59.33,51.95,75.14,64.14,AVERAGE
36,88.56,97.62,89.56,98.25,EXCELLENT
37,68.41,64.01,69.77,63.26,AVERAGE
38,90.29,46.95,67.06,64.83,AVERAGE
39,69.27,81.51,57.06,70.55,AVERAGE
40,100.0,88.61,40.0,81.58,GOOD
41,68.11,70.08,71.18,69.24,AVERAGE
42,72.88,58.92,84.11,73.03,AVERAGE
43,100.0,93.23,55.72,84.47,GOOD
44,86.66,86.57,45.08,74.18,AVERAGE
45,76.21,39.32,88.72,67.94,AVERAGE
46,100.0,46.33,95.01,86.48,EXCELLENT
47,82.99,57.85,74.32,72.31,AVERAGE
48,100.0,40.48,99.39,86.42,EXCELLENT
49,84.21,57.12,67.21,70.65,AVERAGE
50,85.36,59.99,91.93,86.69,EXCELLENT
51,67.57,60.64,79.5,69.09,AVERAGE
52,99.16,62.0,86.68,83.99,GOOD
53,92.38,89.29,99.68,98.31,EXCELLENT
54,84.86,72.09,71.64,79.97,GOOD
55,64.91,49.34,87.47,68.74,AVERAGE
56,79.82,50.21,76.86,67.68,AVERAGE
57,67.62,59.09,71.08,65.94,AVERAGE
58,83.67,62.84,59.19,65.96,AVERAGE
59,69.22,71.58,76.74,72.27,AVERAGE
60,79.71,50.16,72.66,64.94,AVERAGE
61,87.79,98.35,75.09,87.88,EXCELLENT
62,83.36,67.63,74.55,75.42,GOOD
63,100.0,90.35,100.0,100.0,EXCELLENT
64,100.0,55.84,54.39,69.1,AVERAGE
65,68.61,80.04,77.39,75.24,GOOD
66,66.52,85.48,51.69,70.66,AVERAGE
67,54.3,92.48,55.68,61.91,AVERAGE
68,80.08,74.52,60.06,72.18,AVERAGE
69,81.8,75.01,78.06,80.52,GOOD
70,84.98,57.9,98.71,87.61,EXCELLENT
71,100.0,100.0,76.1,95.91,EXCELLENT
72,65.53,70.75,78.94,67.88,AVERAGE
73,75.96,83.28,96.9,91.09,EXCELLENT
74,54.45,63.63,61.17,54.55,NEEDS_IMPROVEMENT
75,60.43,73.2,69.15,66.41,AVERAGE
76,79.06,90.71,53.09,76.22,GOOD
77,78.39,44.79,70.01,63.44,AVERAGE
78,69.5,70.92,69.17,71.56,AVERAGE
79,72.04,46.65,58.82,60.43,AVERAGE
80,100.0,71.58,100.0,99.49,EXCELLENT
81,78.08,53.23,41.76,55.48,NEEDS_IMPROVEMENT
82,70.3,53.02,88.09,73.45,AVERAGE
83,81.16,57.2,88.32,74.9,AVERAGE
84,66.87,52.18,76.53,65.5,AVERAGE
85,70.24,55.11,59.52,59.19,NEEDS_IMPROVEMENT
86,84.06,65.92,66.69,73.36,AVERAGE
87,87.51,57.13,69.13,71.68,AVERAGE
88,70.06,69.63,50.06,64.41,AVERAGE
89,83.9,45.86,83.47,67.32,AVERAGE
90,70.22,67.24,59.09,64.65,AVERAGE
91,92.54,58.44,75.04,72.85,AVERAGE
92,88.66,65.5,81.18,76.84,GOOD
93,97.52,77.43,81.29,83.75,GOOD
94,85.92,74.14,82.01,79.38,GOOD
95,98.02,61.4,40.0,66.96,AVERAGE
96,80.28,92.99,80.58,81.39,GOOD
97,83.53,91.67,49.36,77.82,GOOD
98,89.49,98.09,76.02,87.63,EXCELLENT
99,92.46,54.18,78.81,74.71,AVERAGE
100,95.56,59.04,70.07,74.81,AVERAGE
101,91.35,61.87,92.07,91.58,EXCELLENT
102,68.39,52.84,42.79,54.34,NEEDS_IMPROVEMENT
103,84.2,50.65,94.12,83.99,GOOD
104,87.22,78.79,68.04,81.31,GOOD
105,100.0,64.15,60.41,77.25,GOOD
106,54.61,84.25,57.46,57.54,NEEDS_IMPROVEMENT
107,92.35,68.24,51.76,74.85,AVERAGE
108,76.11,40.35,55.76,56.44,NEEDS_IMPROVEMENT
109,76.54,88.3,89.54,83.27,GOOD
110,100.0,76.06,79.04,83.85,GOOD
111,71.4,55.85,65.7,63.53,AVERAGE
112,76.18,98.31,41.17,73.24,AVERAGE
113,74.86,58.59,42.93,62.27,AVERAGE
114,94.04,92.57,86.72,96.1,EXCELLENT
115,61.67,77.12,65.22,70.41,AVERAGE
116,74.59,93.78,54.96,77.89,GOOD
117,84.89,46.79,86.82,74.33,AVERAGE
118,69.43,45.57,40.0,54.46,NEEDS_IMPROVEMENT
